# time	AI0	AI1
8.817100000000000648e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.817600000000000193e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.818099999999999739e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.818600000000000705e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.819199999999999307e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.819700000000000273e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.820099999999999341e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.820600000000000307e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.821099999999999852e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.821599999999999397e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.822100000000000364e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.822599999999999909e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.823099999999999454e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.823699999999999477e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.824099999999999966e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.824599999999999511e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.825100000000000477e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.825600000000000023e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.826099999999999568e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.826600000000000534e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.827100000000000080e+01 5.718475073313782353e-01 5.571847507331377791e-01
8.827599999999999625e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.828199999999999648e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.828600000000000136e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.829099999999999682e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.829600000000000648e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.830100000000000193e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.830599999999999739e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.831100000000000705e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.831600000000000250e+01 5.669599217986314166e-01 5.474095796676441417e-01
8.832200000000000273e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.832699999999999818e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.833100000000000307e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.833599999999999852e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.834099999999999397e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.834600000000000364e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.835099999999999909e+01 5.620723362658845979e-01 5.425219941348973229e-01
8.835599999999999454e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.836100000000000421e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.836700000000000443e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.837099999999999511e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.837600000000000477e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.838100000000000023e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.838599999999999568e+01 5.669599217986314166e-01 5.522971652003909604e-01
